Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,1/H,1/D,1/A,xPTSh,xPTSa
16/08/14,Arsenal,CPalace,2,1,H,1,1,D,1.25,6.50,15.00,0.80,0.15,0.07,2.55,0.36
16/08/14,Leicester,Everton,2,2,D,1,2,A,3.20,3.40,2.40,0.31,0.29,0.42,1.22,1.55
16/08/14,Man Utd,Swansea,1,2,A,0,1,A,1.36,5.00,11.00,0.74,0.20,0.09,2.42,0.47
16/08/14,QPR,Hull,0,1,A,0,0,D,2.50,3.30,3.10,0.40,0.30,0.32,1.50,1.26
16/08/14,Stoke,Aston Villa,0,1,A,0,0,D,1.95,3.50,4.50,0.51,0.29,0.22,1.82,0.95
16/08/14,West Brom,Sunderland,2,2,D,1,1,D,2.25,3.40,3.50,0.44,0.29,0.29,1.61,1.16
16/08/14,West Ham,Spurs,0,1,A,0,0,D,3.80,3.60,2.05,0.26,0.28,0.49,1.06,1.75
17/08/14,Liverpool,Southampton,2,1,H,1,0,H,1.33,5.75,10.00,0.75,0.17,0.10,2.42,0.47
17/08/14,Newcastle,Man City,0,2,A,0,1,A,5.25,4.33,1.67,0.19,0.23,0.60,0.80,2.03
18/08/14,Burnley,Chelsea,1,3,A,1,3,A,9.00,5.00,1.40,0.11,0.20,0.71,0.53,2.33
23/08/14,Aston Villa,Newcastle,0,0,D,0,0,D,2.50,3.40,3.00,0.40,0.29,0.33,1.49,1.28
23/08/14,Chelsea,Leicester,2,0,H,0,0,D,1.20,7.50,17.00,0.83,0.13,0.06,2.62,0.31
23/08/14,CPalace,West Ham,1,3,A,0,2,A,2.50,3.30,3.10,0.40,0.30,0.32,1.50,1.26
23/08/14,Everton,Arsenal,2,2,D,2,0,H,2.80,3.40,2.70,0.36,0.29,0.37,1.37,1.40
23/08/14,Southampton,West Brom,0,0,D,0,0,D,1.85,3.70,4.75,0.54,0.27,0.21,1.89,0.90
23/08/14,Swansea,Burnley,1,0,H,1,0,H,1.65,4.00,6.00,0.61,0.25,0.17,2.08,0.76
24/08/14,Hull,Stoke,1,1,D,1,0,H,2.50,3.25,3.20,0.40,0.31,0.31,1.51,1.24
24/08/14,Sunderland,Man Utd,1,1,D,1,1,D,5.00,4.00,1.75,0.20,0.25,0.57,0.85,1.96
24/08/14,Spurs,QPR,4,0,H,3,0,H,1.45,4.75,8.00,0.69,0.21,0.13,2.28,0.60
25/08/14,Man City,Liverpool,3,1,H,1,0,H,1.85,4.00,4.33,0.54,0.25,0.23,1.87,0.94
30/08/14,Burnley,Man Utd,0,0,D,0,0,D,6.00,4.20,1.62,0.17,0.24,0.62,0.75,2.10
30/08/14,Everton,Chelsea,3,6,A,1,2,A,3.75,3.30,2.20,0.27,0.30,0.45,1.11,1.65
30/08/14,Man City,Stoke,0,1,A,0,0,D,1.18,8.00,18.00,0.85,0.13,0.06,2.68,0.31
30/08/14,Newcastle,CPalace,3,3,D,1,1,D,1.75,3.75,5.25,0.57,0.27,0.19,1.98,0.84
30/08/14,QPR,Sunderland,1,0,H,1,0,H,2.40,3.25,3.30,0.42,0.31,0.30,1.57,1.21
30/08/14,Swansea,West Brom,3,0,H,2,0,H,1.85,3.60,4.75,0.54,0.28,0.21,1.90,0.91
30/08/14,West Ham,Southampton,1,3,A,1,1,D,2.80,3.40,2.70,0.36,0.29,0.37,1.37,1.40
31/08/14,Aston Villa,Hull,2,1,H,2,0,H,2.30,3.30,3.50,0.43,0.30,0.29,1.59,1.17
31/08/14,Leicester,Arsenal,1,1,D,1,1,D,4.75,3.75,1.83,0.21,0.27,0.55,0.90,1.92
31/08/14,Spurs,Liverpool,0,3,A,0,1,A,2.70,3.50,2.70,0.37,0.29,0.37,1.40,1.40
13/09/14,Arsenal,Man City,2,2,D,0,1,A,3.00,3.40,2.50,0.33,0.29,0.40,1.28,1.49
13/09/14,Chelsea,Swansea,4,2,H,1,1,D,1.30,5.75,12.00,0.77,0.17,0.08,2.48,0.41
13/09/14,CPalace,Burnley,0,0,D,0,0,D,2.25,3.30,3.60,0.44,0.30,0.28,1.62,1.14
13/09/14,Liverpool,Aston Villa,0,1,A,0,1,A,1.30,6.00,11.00,0.77,0.17,0.09,2.48,0.44
13/09/14,Southampton,Newcastle,4,0,H,2,0,H,1.80,3.75,5.00,0.56,0.27,0.20,1.95,0.87
13/09/14,Stoke,Leicester,0,1,A,0,0,D,2.10,3.40,4.00,0.48,0.29,0.25,1.73,1.04
13/09/14,Sunderland,Spurs,2,2,D,1,1,D,3.60,3.50,2.15,0.28,0.29,0.47,1.13,1.70
13/09/14,West Brom,Everton,0,2,A,0,1,A,3.50,3.50,2.20,0.29,0.29,0.45,1.16,1.64
14/09/14,Man Utd,QPR,4,0,H,3,0,H,1.29,6.25,12.00,0.78,0.16,0.08,2.50,0.40
15/09/14,Hull,West Ham,2,2,D,1,0,H,2.15,3.40,3.75,0.47,0.29,0.27,1.70,1.10
20/09/14,Aston Villa,Arsenal,0,3,A,0,3,A,4.75,3.60,1.85,0.21,0.28,0.54,0.91,1.90
20/09/14,Burnley,Sunderland,0,0,D,0,0,D,2.50,3.30,3.10,0.40,0.30,0.32,1.50,1.26
20/09/14,Newcastle,Hull,2,2,D,0,0,D,2.20,3.30,3.75,0.45,0.30,0.27,1.65,1.11
20/09/14,QPR,Stoke,2,2,D,1,1,D,2.80,3.25,2.80,0.36,0.31,0.36,1.39,1.39
20/09/14,Swansea,Southampton,0,1,A,0,0,D,2.50,3.30,3.10,0.40,0.30,0.32,1.50,1.26
20/09/14,West Ham,Liverpool,3,1,H,2,1,H,4.50,3.80,1.85,0.22,0.26,0.54,0.92,1.88
21/09/14,Everton,CPalace,2,3,A,1,1,D,1.40,5.00,9.00,0.71,0.20,0.11,2.33,0.53
21/09/14,Leicester,Man Utd,5,3,H,1,2,A,5.50,4.20,1.67,0.18,0.24,0.60,0.78,2.04
21/09/14,Man City,Chelsea,1,1,D,0,0,D,2.38,3.50,3.10,0.42,0.29,0.32,1.55,1.25
21/09/14,Spurs,West Brom,0,1,A,0,0,D,1.53,4.33,7.00,0.65,0.23,0.14,2.18,0.65
27/09/14,Arsenal,Spurs,1,1,D,0,0,D,1.75,3.90,5.00,0.57,0.26,0.20,1.97,0.86
27/09/14,Chelsea,Aston Villa,3,0,H,1,0,H,1.22,7.00,16.00,0.82,0.14,0.06,2.60,0.32
27/09/14,CPalace,Leicester,2,0,H,0,0,D,2.63,3.40,2.88,0.38,0.29,0.35,1.43,1.34
27/09/14,Hull,Man City,2,4,A,2,2,D,6.50,4.20,1.57,0.15,0.24,0.64,0.69,2.16
27/09/14,Liverpool,Everton,1,1,D,0,0,D,1.91,3.75,4.33,0.52,0.27,0.23,1.83,0.96
27/09/14,Man Utd,West Ham,2,1,H,2,1,H,1.40,5.50,8.00,0.71,0.18,0.13,2.31,0.57
27/09/14,Southampton,QPR,2,1,H,0,0,D,1.44,4.60,8.50,0.69,0.22,0.12,2.29,0.58
27/09/14,Sunderland,Swansea,0,0,D,0,0,D,2.90,3.30,2.63,0.34,0.30,0.38,1.32,1.44
28/09/14,West Brom,Burnley,4,0,H,2,0,H,2.00,3.50,4.20,0.50,0.29,0.24,1.79,1.01
29/09/14,Stoke,Newcastle,1,0,H,1,0,H,2.15,3.40,3.80,0.47,0.29,0.26,1.70,1.07
04/10/14,Aston Villa,Man City,0,2,A,0,0,D,7.50,4.50,1.50,0.13,0.22,0.67,0.61,2.23
04/10/14,Hull,CPalace,2,0,H,0,0,D,2.10,3.50,3.80,0.48,0.29,0.26,1.73,1.07
04/10/14,Leicester,Burnley,2,2,D,2,1,H,1.80,3.75,5.00,0.56,0.27,0.20,1.95,0.87
04/10/14,Liverpool,West Brom,2,1,H,1,0,H,1.44,5.00,7.50,0.69,0.20,0.13,2.27,0.59
04/10/14,Sunderland,Stoke,3,1,H,2,1,H,2.55,3.25,3.10,0.39,0.31,0.32,1.48,1.27
04/10/14,Swansea,Newcastle,2,2,D,1,1,D,1.91,3.70,4.33,0.52,0.27,0.23,1.83,0.96
05/10/14,Chelsea,Arsenal,2,0,H,1,0,H,1.67,4.20,5.25,0.60,0.24,0.19,2.04,0.81
05/10/14,Man Utd,Everton,2,1,H,1,0,H,1.67,4.20,5.25,0.60,0.24,0.19,2.04,0.81
05/10/14,Spurs,Southampton,1,0,H,1,0,H,2.20,3.50,3.50,0.45,0.29,0.29,1.64,1.16
05/10/14,West Ham,QPR,2,0,H,1,0,H,1.91,3.60,4.50,0.52,0.28,0.22,1.84,0.94
18/10/14,Arsenal,Hull,2,2,D,1,1,D,1.40,5.00,9.00,0.71,0.20,0.11,2.33,0.53
18/10/14,Burnley,West Ham,1,3,A,0,0,D,2.80,3.40,2.70,0.36,0.29,0.37,1.37,1.40
18/10/14,CPalace,Chelsea,1,2,A,0,1,A,8.50,4.75,1.44,0.12,0.21,0.69,0.57,2.28
18/10/14,Everton,Aston Villa,3,0,H,1,0,H,1.60,4.00,6.50,0.63,0.25,0.15,2.14,0.70
18/10/14,Man City,Spurs,4,1,H,2,1,H,1.45,4.75,8.00,0.69,0.21,0.13,2.28,0.60
18/10/14,Newcastle,Leicester,1,0,H,0,0,D,2.25,3.60,3.30,0.44,0.28,0.30,1.60,1.18
18/10/14,Southampton,Sunderland,8,0,H,3,0,H,1.57,4.00,7.00,0.64,0.25,0.14,2.17,0.67
19/10/14,QPR,Liverpool,2,3,A,0,0,D,6.00,4.20,1.60,0.17,0.24,0.63,0.75,2.13
19/10/14,Stoke,Swansea,2,1,H,1,1,D,2.50,3.30,3.10,0.40,0.30,0.32,1.50,1.26
20/10/14,West Brom,Man Utd,2,2,D,1,0,H,5.00,4.00,1.75,0.20,0.25,0.57,0.85,1.96
25/10/14,Liverpool,Hull,0,0,D,0,0,D,1.44,4.75,8.00,0.69,0.21,0.13,2.28,0.60
25/10/14,Southampton,Stoke,1,0,H,1,0,H,1.65,4.00,6.00,0.61,0.25,0.17,2.08,0.76
25/10/14,Sunderland,Arsenal,0,2,A,0,1,A,5.50,3.80,1.73,0.18,0.26,0.58,0.80,2.00
25/10/14,Swansea,Leicester,2,0,H,1,0,H,1.95,3.70,4.20,0.51,0.27,0.24,1.80,0.99
25/10/14,West Brom,CPalace,2,2,D,0,2,A,1.91,3.60,4.50,0.52,0.28,0.22,1.84,0.94
25/10/14,West Ham,Man City,2,1,H,1,0,H,6.50,4.50,1.55,0.15,0.22,0.65,0.67,2.17
26/10/14,Burnley,Everton,1,3,A,1,2,A,4.75,3.75,1.83,0.21,0.27,0.55,0.90,1.92
26/10/14,Man Utd,Chelsea,1,1,D,0,0,D,2.88,3.60,2.50,0.35,0.28,0.40,1.33,1.48
26/10/14,Spurs,Newcastle,1,2,A,1,0,H,1.75,3.90,5.00,0.57,0.26,0.20,1.97,0.86
27/10/14,QPR,Aston Villa,2,0,H,1,0,H,2.38,3.25,3.40,0.42,0.31,0.29,1.57,1.18
01/11/14,Arsenal,Burnley,3,0,H,0,0,D,1.25,6.50,14.00,0.80,0.15,0.07,2.55,0.36
01/11/14,Chelsea,QPR,2,1,H,1,0,H,1.17,8.50,21.00,0.85,0.12,0.05,2.67,0.27
01/11/14,Everton,Swansea,0,0,D,0,0,D,1.75,3.80,5.25,0.57,0.26,0.19,1.97,0.83
01/11/14,Hull,Southampton,0,1,A,0,1,A,3.80,3.60,2.05,0.26,0.28,0.49,1.06,1.75
01/11/14,Leicester,West Brom,0,1,A,0,0,D,2.30,3.50,3.30,0.43,0.29,0.30,1.58,1.19
01/11/14,Newcastle,Liverpool,1,0,H,0,0,D,3.80,3.75,2.00,0.26,0.27,0.50,1.05,1.77
01/11/14,Stoke,West Ham,2,2,D,1,0,H,2.38,3.40,3.25,0.42,0.29,0.31,1.55,1.22
02/11/14,Aston Villa,Spurs,1,2,A,1,0,H,3.75,3.60,2.10,0.27,0.28,0.48,1.09,1.72
02/11/14,Man City,Man Utd,1,0,H,0,0,D,1.91,3.75,4.33,0.52,0.27,0.23,1.83,0.96
03/11/14,CPalace,Sunderland,1,3,A,0,1,A,2.10,3.50,3.80,0.48,0.29,0.26,1.73,1.07
08/11/14,Burnley,Hull,1,0,H,0,0,D,2.50,3.40,3.00,0.40,0.29,0.33,1.49,1.28
08/11/14,Liverpool,Chelsea,1,2,A,1,1,D,3.40,3.40,2.30,0.29,0.29,0.43,1.16,1.58
08/11/14,Man Utd,CPalace,1,0,H,0,0,D,1.30,6.00,11.00,0.77,0.17,0.09,2.48,0.44
08/11/14,QPR,Man City,2,2,D,1,1,D,7.00,4.75,1.50,0.14,0.21,0.67,0.63,2.22
08/11/14,Southampton,Leicester,2,0,H,0,0,D,1.44,4.75,8.00,0.69,0.21,0.13,2.28,0.60
08/11/14,West Ham,Aston Villa,0,0,D,0,0,D,1.75,3.75,5.50,0.57,0.27,0.18,1.98,0.81
09/11/14,Sunderland,Everton,1,1,D,0,0,D,4.00,3.50,2.05,0.25,0.29,0.49,1.04,1.76
09/11/14,Swansea,Arsenal,2,1,H,0,0,D,3.75,3.50,2.10,0.27,0.29,0.48,1.10,1.73
09/11/14,Spurs,Stoke,1,2,A,0,2,A,1.70,4.00,5.50,0.59,0.25,0.18,2.02,0.79
09/11/14,West Brom,Newcastle,0,2,A,0,1,A,2.30,3.50,3.30,0.43,0.29,0.30,1.58,1.19
22/11/14,Arsenal,Man Utd,1,2,A,0,0,D,2.15,3.60,3.50,0.47,0.28,0.29,1.69,1.15
22/11/14,Chelsea,West Brom,2,0,H,2,0,H,1.25,6.50,15.00,0.80,0.15,0.07,2.55,0.36
22/11/14,Everton,West Ham,2,1,H,1,0,H,1.85,3.80,4.50,0.54,0.26,0.22,1.88,0.92
22/11/14,Leicester,Sunderland,0,0,D,0,0,D,2.10,3.50,3.80,0.48,0.29,0.26,1.73,1.07
22/11/14,Man City,Swansea,2,1,H,1,1,D,1.40,5.25,8.50,0.71,0.19,0.12,2.32,0.55
22/11/14,Newcastle,QPR,1,0,H,0,0,D,1.83,3.75,4.75,0.55,0.27,0.21,1.92,0.90
22/11/14,Stoke,Burnley,1,2,A,1,2,A,1.70,3.80,5.75,0.59,0.26,0.17,2.03,0.77
23/11/14,CPalace,Liverpool,3,1,H,1,1,D,4.33,3.70,1.91,0.23,0.27,0.52,0.96,1.83
23/11/14,Hull,Spurs,1,2,A,1,0,H,3.60,3.40,2.20,0.28,0.29,0.45,1.13,1.64
24/11/14,Aston Villa,Southampton,1,1,D,1,0,H,5.25,3.75,1.75,0.19,0.27,0.57,0.84,1.98
29/11/14,Burnley,Aston Villa,1,1,D,0,1,A,2.15,3.40,3.75,0.47,0.29,0.27,1.70,1.10
29/11/14,Liverpool,Stoke,1,0,H,0,0,D,1.73,4.00,5.00,0.58,0.25,0.20,1.99,0.85
29/11/14,Man Utd,Hull,3,0,H,2,0,H,1.33,5.75,10.00,0.75,0.17,0.10,2.42,0.47
29/11/14,QPR,Leicester,3,2,H,2,1,H,2.38,3.40,3.25,0.42,0.29,0.31,1.55,1.22
29/11/14,Sunderland,Chelsea,0,0,D,0,0,D,9.00,5.00,1.40,0.11,0.20,0.71,0.53,2.33
29/11/14,Swansea,CPalace,1,1,D,1,1,D,1.80,3.75,5.00,0.56,0.27,0.20,1.95,0.87
29/11/14,West Brom,Arsenal,0,1,A,0,0,D,4.50,3.80,1.85,0.22,0.26,0.54,0.92,1.88
29/11/14,West Ham,Newcastle,1,0,H,0,0,D,2.15,3.50,3.60,0.47,0.29,0.28,1.70,1.13
30/11/14,Southampton,Man City,0,3,A,0,0,D,3.20,3.60,2.30,0.31,0.28,0.43,1.21,1.57
